neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
אביב,18902.66,12225.26,13066.73,15477.55,16265.35,13757.21,16263.23,14046.75,15815.16,16706.25,22508.76,21115.25
גבעת הסלעים,14587.29,15983.26,16385.1,15826.18,16858.94,16681.86,19554.84,18656.97,22271.52,21091.53,25833.63,27746.07
גבעת טל,15792.01,13961.89,14243.95,11307.12,15482.85,14667.23,16385.18,14597.73,24676.73,24198.14,11986.29,11986.29
הרקפות,16643.75,11281.3,22683.47,8724.2,18786.45,28392.28,33409.74,29604.4,40979.42,25867.885,10756.35,22619.05
מצפה אפק,14178.16,14771.2,16028.96,15958.36,17118.82,16276.41,16758.23,17723.24,22306.38,20998.63,21245.0,24616.03
נווה אפק,15901.0,16945.91,17376.54,18328.62,17960.33,17743.57,17538.22,18944.38,25621.68,25824.21,25846.48,26819.57
פסגות אפק,17411.68,17411.68,17411.68,17411.68,17411.68,17411.68,17411.68,17411.68,17411.68,17411.68,23126.38,23270.56
"צה""ל",16843.91,15654.71,14961.35,14576.41,15835.63,16799.51,20239.12,20827.97,17522.33,18337.02,23009.63,23387.93
ראש העין צפון,12494.71,12494.71,12600.89,14588.88,14959.33,17983.06,16575.41,19950.72,23234.79,23911.41,23092.91,22664.59
"רמב""ם",12617.8,13284.25,16794.74,16904.49,16459.55,14791.29,14881.48,25613.82,26033.65,18754.91,24387.37,22002.29
שבזי,11962.62,12044.35,9147.91,16659.87,4795.1,23647.51,9421.21,12816.06,23731.91,38134.9,7193.57,24203.12
