neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
אזור תעשיה צפוני,11774.97,12250.66,12884.7,14690.5,15738.63,14326.91,15083.12,16860.78,18778.76,15507.45,21081.84,21212.95
בית ומנוחה,13084.12,13757.59,16193.32,17137.51,16780.82,18177.96,17186.18,18649.61,24744.15,27748.07,23454.68,26076.95
גבעת סביון,9424.12,9938.33,10856.24,8888.34,10419.95,11042.77,11956.78,13700.77,12712.56,17150.29,20310.58,18599.73
גבעת שרת,10141.53,11432.61,11621.18,12405.82,13149.66,13569.03,14431.66,15344.71,17564.34,22709.08,21824.96,23815.5
מרכז העיר,16206.1,13508.35,15935.11,17293.85,15799.75,16846.78,17284.22,18437.57,23250.97,23416.57,27519.19,25842.92
נווה ספיר,11934.41,12898.87,13696.09,15727.67,16315.68,17051.12,16725.33,18223.52,21770.07,23118.65,22969.46,25068.94
פסגת השבע,12412.84,13129.22,12039.58,13635.98,15341.21,16052.37,13377.0,17726.96,21441.47,19200.43,23272.28,23607.45
קנה הבושם,11034.99,13330.07,14616.39,14836.59,15835.17,16230.87,16618.63,17915.14,20110.12,23063.93,23946.62,27793.41
קרית אריה שיינפלד,11163.29,12375.2,13262.51,13892.83,13640.11,14425.9,15113.34,16499.74,18026.58,22405.36,19046.12,18500.28
קרית בן אליעזר,10900.3,11259.59,12264.2,13387.4,14735.39,14848.75,16035.47,16493.1,17207.09,19010.48,23354.85,25293.42
רמת בית שמש א,14719.27,15805.06,16838.36,17526.4,17301.98,17922.43,18596.8,20069.89,25537.47,27470.74,28231.51,28910.84
רמת בית שמש ב,13077.3,14403.05,14599.62,15095.97,17102.5,17164.53,17674.63,16674.79,21378.98,22297.69,24490.33,29131.99
רמת בית שמש ג,15976.17,15976.17,15976.17,15976.17,15976.17,15976.17,16138.73,17775.39,22004.58,23753.98,24537.32,25173.5
רמת נריה,11717.59,13382.74,15777.97,14798.61,15813.13,15176.08,15264.79,16343.94,20882.46,22326.39,24347.07,25305.43
"שז""ר",14038.51,16224.57,14491.6,15392.91,17058.59,16434.93,17969.01,18544.42,24453.45,25202.18,25423.83,27452.09
