neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
גיורא יוספטל,,,2115.99,5078.44,5752.73,5357.18,6211.84,6424.89,6402.15,7820.84,8015.8,8032.84,6065.03,5966.92,5535.56,6885.22,8351.55,8596.91,9802.9,9221.91
הנצחון,,3155.5,2064.05,2161.1,4944.01,4103.49,4567.27,5341.4,5943.24,5477.38,5925.86,5708.09,5589.6,4368.01,4861.51,5929.03,6918.34,8218.37,8799.47,8782.86
הר נוף,,,,,,4997.58,9669.78,10033.08,11429.7,9031.95,10758.62,9594.15,6503.2,7306.47,7943.19,8064.41,11172.11,12489.01,12656.38,
חכמי ישראל,,,3122.03,,6488.79,6614.58,6711.24,7974.42,8226.84,8896.99,8586.24,8446.9,8412.92,6831.03,7884.73,7413.68,8184.58,9773.42,10286.95,10271.39
מלכי ישראל,,3221.15,,2258.06,3426.77,,5907.76,5489.39,4711.55,6201.55,6027.42,5424.62,6544.54,5415.25,5857.13,5763.5,7086.94,7951.11,8474.66,9965.07
ממשית,3742.5,4027.18,3812.48,6900.69,6716.74,7778.21,9028.59,8385.5,7944.36,8420.41,7756.71,7916.39,7160.3,6059.27,6870.79,6939.21,7800.75,9302.19,9732.79,10519.84
נאות הללי,,4303.57,6528.89,6000.0,7607.14,6148.48,7674.15,8097.17,11256.1,9122.96,,9757.28,,8696.12,7124.84,8796.81,9254.39,10530.45,10193.89,
נאות קטיף,4577.01,3291.48,3676.64,4304.8,5285.81,6451.75,6482.81,7389.03,7045.35,6317.57,8422.54,8264.58,6547.8,4229.45,6698.02,6348.14,7792.28,8836.85,9609.14,8859.92
נווה אביב,,4696.08,,5000.0,6173.2,7654.76,6393.83,8275.0,7882.32,10896.55,6846.22,5844.93,,7187.5,,6156.49,8071.75,,10333.64,
נווה גן,,2092.11,2027.03,,4901.32,7016.0,6031.28,6955.01,5528.91,6254.78,7939.18,6939.5,5811.76,5369.97,5790.47,5603.21,6890.37,7846.01,7738.18,8912.83
נווה דוד,3850.87,3916.67,5128.21,2582.43,4697.88,5386.09,5221.93,7495.84,7051.16,6663.01,7044.44,6388.23,6477.52,5741.07,6203.83,6195.49,6593.72,7044.27,8370.73,9788.81
נווה חורש,5309.31,4532.86,5720.33,6787.06,7852.71,7808.64,7589.4,7274.69,8349.73,8690.9,8421.01,7929.11,8152.53,7977.94,8099.89,7606.93,8320.68,9393.09,10583.41,11836.96
ערבה,,3687.18,1425.3,,,10048.31,8007.07,9949.54,7534.41,10833.69,7180.1,6828.7,11151.68,12999.86,10064.75,8212.02,6231.36,8994.07,,17105.89
פרחי ארצנו,,,2913.05,2182.36,6022.52,6133.97,5945.04,6791.93,7596.68,8140.06,8408.84,8952.55,10584.3,7085.42,7737.25,7212.1,10097.75,9808.84,12137.03,10264.97
שבעת המינים,,3035.92,3056.96,3092.99,5003.22,5702.42,5723.11,8403.61,8307.15,8434.12,8403.4,9243.7,8764.15,7967.0,9795.54,8597.36,8403.96,8123.59,10872.09,9370.9
שיכון שלוש קומות,,2129.82,1744.47,3162.47,7372.31,5857.73,5846.29,7182.82,6892.5,9408.02,7214.69,9175.27,7474.35,7474.67,6263.48,7183.33,8444.52,8735.43,11451.63,8042.35
